"id","timestamp","user_id","message","reply","action_type","gemini_call","gemini_output_url","created_at"
"16","2025-06-10 00:38:07.68979","U61539d6d1bd2f05b77ea99c84332ce93","糖尿病 飲食控制","✅ 中文版衛教內容已生成。","Gemini reply","true",,"2025-06-10 00:38:07.689794"
"17","2025-06-10 00:38:22.500862","U61539d6d1bd2f05b77ea99c84332ce93","modify","✏️ 請輸入您的修改指示，例如：強調飲食控制。
⏳ 處理約需 10-20 秒...","sync reply","false",,"2025-06-10 00:38:22.500865"
"18","2025-06-10 00:38:55.181463","U61539d6d1bd2f05b77ea99c84332ce93","DM meds","✅ 已修改中文版內容。","Gemini reply","true",,"2025-06-10 00:38:55.181466"
"19","2025-06-10 00:39:37.065467","U61539d6d1bd2f05b77ea99c84332ce93","translate","🌐 請輸入您要翻譯成的語言，例如：日文、泰文…
⏳ 處理約需 10-20 秒...","sync reply","false",,"2025-06-10 00:39:37.065472"
"20","2025-06-10 00:39:51.92314","U61539d6d1bd2f05b77ea99c84332ce93","英文","🌐 翻譯完成（目標語言：英文）。","Gemini reply","true",,"2025-06-10 00:39:51.923143"
"21","2025-06-10 00:39:58.34434","U61539d6d1bd2f05b77ea99c84332ce93","mail","📧 請輸入您要寄送至的 email 地址：","sync reply","false",,"2025-06-10 00:39:58.344342"
"22","2025-06-10 00:40:15.433181","U61539d6d1bd2f05b77ea99c84332ce93","galen147258369@gmail.com","✅ 已成功寄出衛教內容至 galen147258369@gmail.com","sync reply","false",,"2025-06-10 00:40:15.433185"
"23","2025-06-10 00:40:50.684906","U61539d6d1bd2f05b77ea99c84332ce93","new","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 00:40:50.68491"
"24","2025-06-10 00:41:26.899258","U61539d6d1bd2f05b77ea99c84332ce93","You have stemi need pci stat","您是否想表達：
您現在是「急性心肌梗塞」，需要立刻做「心導管手術」。

คุณตอนนี้เป็น ""กล้ามเนื้อหัวใจตายเฉียบพลัน"" และจำเป็นต้องทำ ""การสวนหัวใจ"" ทันที เข้าใจไหมครับ/คะ?","medchat","true",,"2025-06-10 00:41:26.899261"
"25","2025-06-10 00:42:25.03335","U61539d6d1bd2f05b77ea99c84332ce93","new","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 00:42:25.033353"
"26","2025-06-10 00:42:47.378695","U61539d6d1bd2f05b77ea99c84332ce93","[AudioMessage]","自動偵測語言: 英文

語音轉文字: Test 1 2 3 test 1 2 you see VSTT API works properly.","medchat_audio","true",,"2025-06-10 00:42:47.378698"
"27","2025-06-10 00:46:31.336921","U61539d6d1bd2f05b77ea99c84332ce93","new","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 00:46:31.336925"
"28","2025-06-10 00:46:58.132257","U61539d6d1bd2f05b77ea99c84332ce93","You have stemi need pci stat","您是否想表達：
您現在是「ST 段上升型心肌梗塞」，這是一種嚴重的心臟病發作，需要立刻進行「經皮冠狀動脈介入治療」這個手術。

あなたは現在、ST上昇型心筋梗塞です。これは重篤な心臓発作であり、直ちに経皮的冠動脈インターベンションという手術が必要です。ご理解いただけましたか？","medchat","true","https://drive.google.com/file/d/1SlIy_FJZTA_aA3oDYG_HyUOuMmxmCOHh/view","2025-06-10 00:46:58.132262"
"29","2025-06-10 00:48:09.007851","U61539d6d1bd2f05b77ea99c84332ce93","[AudioMessage]","自動偵測語言: 英文

語音轉文字: Test 1 2 3 test 1 2 3 to see if the STT API actually works properly.","medchat_audio","true","https://drive.google.com/file/d/1togRS3nlMfA2TzLnfpCPILYy31PLEQrC/view","2025-06-10 00:48:09.007855"
"30","2025-06-10 00:50:12.546785","U61539d6d1bd2f05b77ea99c84332ce93","[AudioMessage]","自動偵測語言: 英文

語音轉文字: Hello, I'm the doctor. Please tell me how long have you been having a fever and how high is the fever and is it intermittent or continuous?","medchat_audio","true","https://drive.google.com/file/d/1Yo_mAghajpDWEa64mns1k1tCPuXstSsu/view","2025-06-10 00:50:12.546789"
"31","2025-06-10 00:52:56.781593","U61539d6d1bd2f05b77ea99c84332ce93","new","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 00:52:56.781596"
"32","2025-06-10 00:52:59.41045","U61539d6d1bd2f05b77ea99c84332ce93","衛教","✅ 已進入『衛教』模式，請輸入：疾病名稱 + 衛教主題。
⏳ 生成約需 10-20 秒...","sync reply","false",,"2025-06-10 00:52:59.410453"
"33","2025-06-10 00:53:37.725372","U61539d6d1bd2f05b77ea99c84332ce93","高血壓 生活習慣","✅ 中文版衛教內容已生成。","Gemini reply","true","https://drive.google.com/file/d/1Ph69K7xPoJYuD7J65hc1BMFlkOsU8PD7/view","2025-06-10 00:53:37.725376"
"34","2025-06-10 01:39:30.164355","U61539d6d1bd2f05b77ea99c84332ce93","New","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 01:39:30.16436"
"35","2025-06-10 01:40:13.364321","U61539d6d1bd2f05b77ea99c84332ce93","衛教","✅ 已進入『衛教』模式，請輸入：疾病名稱 + 衛教主題。
⏳ 生成約需 10-20 秒...","sync reply","false",,"2025-06-10 01:40:13.364326"
"36","2025-06-10 01:40:40.479329","U61539d6d1bd2f05b77ea99c84332ce93","高血壓 生活習慣","✅ 中文版衛教內容已生成。","Gemini reply","true","https://drive.google.com/file/d/1YID72W6Cynbm2t4ULXr34vWVDGL-FhJa/view","2025-06-10 01:40:40.479334"
"37","2025-06-10 01:41:12.228645","U61539d6d1bd2f05b77ea99c84332ce93","New","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 01:41:12.22865"
"38","2025-06-10 01:48:54.277599","U61539d6d1bd2f05b77ea99c84332ce93","[AudioMessage]","自動偵測語言: 英文

語音轉文字: test 1 2 3 test 1 2 3 to see if the STT API works.","medchat_audio","true","https://drive.google.com/file/d/1-RlUPamYyEl-lo_y-60KKckyrPf1zagV/view","2025-06-10 01:48:54.277604"
"39","2025-06-10 01:49:48.690533","U61539d6d1bd2f05b77ea99c84332ce93","New","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 01:49:48.690537"
"40","2025-06-10 01:49:53.169295","U61539d6d1bd2f05b77ea99c84332ce93","衛教","✅ 已進入『衛教』模式，請輸入：疾病名稱 + 衛教主題。
⏳ 生成約需 10-20 秒...","sync reply","false",,"2025-06-10 01:49:53.1693"
"41","2025-06-10 01:50:41.832098","U61539d6d1bd2f05b77ea99c84332ce93","糖尿病 飲食控制","✅ 中文版衛教內容已生成。","Gemini reply","true","https://drive.google.com/file/d/16s7AQqw54fqPcJW9ngU3lF-wUaLu8rDg/view","2025-06-10 01:50:41.832103"
"42","2025-06-10 01:51:46.759816","U61539d6d1bd2f05b77ea99c84332ce93","translate","🌐 請輸入您要翻譯成的語言，例如：日文、泰文…
⏳ 處理約需 10-20 秒...","sync reply","false",,"2025-06-10 01:51:46.759821"
"43","2025-06-10 01:52:20.417097","U61539d6d1bd2f05b77ea99c84332ce93","印尼文","🌐 翻譯完成（目標語言：印尼文）。","Gemini reply","true","https://drive.google.com/file/d/13Qq4wud-E-caSADwmg0ZV81Gt-M_mvDT/view","2025-06-10 01:52:20.417101"
"44","2025-06-10 01:54:37.890931","U61539d6d1bd2f05b77ea99c84332ce93","mail","📧 請輸入您要寄送至的 email 地址：","sync reply","false",,"2025-06-10 01:54:37.890936"
"45","2025-06-10 01:54:57.557667","U61539d6d1bd2f05b77ea99c84332ce93","Galen147258369@gmail.com","✅ 已成功寄出衛教內容至 Galen147258369@gmail.com","sync reply","false",,"2025-06-10 01:54:57.55767"
"46","2025-06-10 01:55:02.547396","U61539d6d1bd2f05b77ea99c84332ce93","new","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 01:55:02.547401"
"47","2025-06-10 01:55:56.132959","U61539d6d1bd2f05b77ea99c84332ce93","You have stemi need pci stat","您是否想表達：
您有「ST段上升型心肌梗塞」，這是一種嚴重的心臟病發作，需要「緊急心導管手術」來打通血管。

""ST 분절 상승 심근경색""이 있으시며, 이는 혈관을 뚫기 위해 ""응급 심장 도관 삽입술""이 필요한 심각한 심장마비입니다. 이해하셨습니까?","medchat","true","https://drive.google.com/file/d/1N2LCbXzqAVTjW40YyCPx0z_xy_SdzeGJ/view","2025-06-10 01:55:56.132964"
"48","2025-06-10 01:57:54.246494","U61539d6d1bd2f05b77ea99c84332ce93","new","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 01:57:54.246506"
"49","2025-06-10 01:58:11.523313","U61539d6d1bd2f05b77ea99c84332ce93","You have stemi need pci stat","您是否想表達：
您現在是得了「急性心肌梗塞」，這是一種嚴重的心臟病發作，需要立刻做「心導管手術」來打通阻塞的血管。

「急性心筋梗塞」を発症されています。これは重度の心臓発作であり、詰まった血管を広げるために、直ちに「心臓カテーテル手術」を行う必要があります。

ご理解いただけましたでしょうか？","medchat","true","https://drive.google.com/file/d/1BNOz-NbJKZIP98zfR_Vi0mded56lKtNY/view","2025-06-10 01:58:11.523317"
"50","2025-06-10 02:03:04.065623","U61539d6d1bd2f05b77ea99c84332ce93","new","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 02:03:04.065628"
"51","2025-06-10 02:03:27.648769","U61539d6d1bd2f05b77ea99c84332ce93","You have stemi need pci stat","您是否想表達：
您現在是急性心肌梗塞，也就是俗稱的嚴重「心臟病發作」，心臟的血管完全堵塞了。我們需要立刻為您進行「心導管手術」，把堵塞的血管打通。

ตอนนี้คุณกำลังเป็นโรคกล้ามเนื้อหัวใจตายเฉียบพลัน หรือที่เรียกกันทั่วไปว่า ""อาการหัวใจวาย"" อย่างรุนแรง ซึ่งหลอดเลือดหัวใจของคุณอุดตันโดยสมบูรณ์ เราจำเป็นต้องทำการ ""สวนหัวใจ"" ทันทีเพื่อเปิดหลอดเลือดที่อุดตัน

คุณเข้าใจไหมครับ/คะ?","medchat","true","https://drive.google.com/file/d/1Wd39kKqtpvDekgNdaP4K_f_2vinWYQAC/view","2025-06-10 02:03:27.648774"
